site_slug,site_title,category,category_slug,asset_name,asset_slug,kind,width,height,prompt,negative_prompt,notes,output_folder,output_base
pickle_book,Pickle Book Website Graphics,Chibi Pickle Stickers,chibi-pickle-stickers,Pickle thinking,pickle-thinking,sticker,512,512,"chibi pickle sticker, pickle thinking, pickle character, friendly expression, intelligent look, clean dark outline, classic dill pickle body, elongated cucumber shape, bumpy warty pickle texture, pickle ridges, dark green pickle skin, light green bumps, fresh pickle appearance, academic detail, soft shading, simple silhouette, white sticker border, transparent background, website asset, no text, high quality, best quality","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, blurry, pixelated, watermark, signature, letters, words, UI screenshot, clutter, neon glare, scary expression, gross food texture, photorealistic pickle, inconsistent character, malformed arms, extra limbs, smooth skin, tomato shape, round body",,generated/pickle_book/chibi-pickle-stickers,pickle-thinking
pickle_book,Pickle Book Website Graphics,Chibi Pickle Stickers,chibi-pickle-stickers,Pickle pointing,pickle-pointing,sticker,512,512,"chibi pickle sticker, pickle pointing, pickle character, friendly expression, intelligent look, clean dark outline, classic dill pickle body, elongated cucumber shape, bumpy warty pickle texture, pickle ridges, dark green pickle skin, light green bumps, fresh pickle appearance, academic detail, soft shading, simple silhouette, white sticker border, transparent background, website asset, no text, high quality, best quality","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, blurry, pixelated, watermark, signature, letters, words, UI screenshot, clutter, neon glare, scary expression, gross food texture, photorealistic pickle, inconsistent character, malformed arms, extra limbs, smooth skin, tomato shape, round body",,generated/pickle_book/chibi-pickle-stickers,pickle-pointing
pickle_book,Pickle Book Website Graphics,Chibi Pickle Stickers,chibi-pickle-stickers,Pickle celebrating,pickle-celebrating,sticker,512,512,"chibi pickle sticker, pickle celebrating, pickle character, friendly expression, intelligent look, clean dark outline, classic dill pickle body, elongated cucumber shape, bumpy warty pickle texture, pickle ridges, dark green pickle skin, light green bumps, fresh pickle appearance, academic detail, soft shading, simple silhouette, white sticker border, transparent background, website asset, no text, high quality, best quality","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, blurry, pixelated, watermark, signature, letters, words, UI screenshot, clutter, neon glare, scary expression, gross food texture, photorealistic pickle, inconsistent character, malformed arms, extra limbs, smooth skin, tomato shape, round body",,generated/pickle_book/chibi-pickle-stickers,pickle-celebrating
pickle_book,Pickle Book Website Graphics,Chibi Pickle Stickers,chibi-pickle-stickers,Pickle holding a lightbulb,pickle-holding-a-lightbulb,sticker,512,512,"chibi pickle sticker, pickle holding a lightbulb, pickle character, friendly expression, intelligent look, clean dark outline, classic dill pickle body, elongated cucumber shape, bumpy warty pickle texture, pickle ridges, dark green pickle skin, light green bumps, fresh pickle appearance, academic detail, soft shading, simple silhouette, white sticker border, transparent background, website asset, no text, high quality, best quality","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, blurry, pixelated, watermark, signature, letters, words, UI screenshot, clutter, neon glare, scary expression, gross food texture, photorealistic pickle, inconsistent character, malformed arms, extra limbs, smooth skin, tomato shape, round body",,generated/pickle_book/chibi-pickle-stickers,pickle-holding-a-lightbulb
pickle_book,Pickle Book Website Graphics,Chibi Pickle Stickers,chibi-pickle-stickers,Pickle asking a question,pickle-asking-a-question,sticker,512,512,"chibi pickle sticker, pickle asking a question, pickle character, friendly expression, intelligent look, clean dark outline, classic dill pickle body, elongated cucumber shape, bumpy warty pickle texture, pickle ridges, dark green pickle skin, light green bumps, fresh pickle appearance, academic detail, soft shading, simple silhouette, white sticker border, transparent background, website asset, no text, high quality, best quality","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, blurry, pixelated, watermark, signature, letters, words, UI screenshot, clutter, neon glare, scary expression, gross food texture, photorealistic pickle, inconsistent character, malformed arms, extra limbs, smooth skin, tomato shape, round body",,generated/pickle_book/chibi-pickle-stickers,pickle-asking-a-question
pickle_book,Pickle Book Website Graphics,Chibi Pickle Stickers,chibi-pickle-stickers,Pickle presenting an answer,pickle-presenting-an-answer,sticker,512,512,"chibi pickle sticker, pickle presenting an answer, pickle character, friendly expression, intelligent look, clean dark outline, classic dill pickle body, elongated cucumber shape, bumpy warty pickle texture, pickle ridges, dark green pickle skin, light green bumps, fresh pickle appearance, academic detail, soft shading, simple silhouette, white sticker border, transparent background, website asset, no text, high quality, best quality","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, blurry, pixelated, watermark, signature, letters, words, UI screenshot, clutter, neon glare, scary expression, gross food texture, photorealistic pickle, inconsistent character, malformed arms, extra limbs, smooth skin, tomato shape, round body",,generated/pickle_book/chibi-pickle-stickers,pickle-presenting-an-answer
pickle_book,Pickle Book Website Graphics,Chibi Pickle Stickers,chibi-pickle-stickers,Pickle holding a warning sign,pickle-holding-a-warning-sign,sticker,512,512,"chibi pickle sticker, pickle holding a warning sign, pickle character, friendly expression, intelligent look, clean dark outline, classic dill pickle body, elongated cucumber shape, bumpy warty pickle texture, pickle ridges, dark green pickle skin, light green bumps, fresh pickle appearance, academic detail, soft shading, simple silhouette, white sticker border, transparent background, website asset, no text, high quality, best quality","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, blurry, pixelated, watermark, signature, letters, words, UI screenshot, clutter, neon glare, scary expression, gross food texture, photorealistic pickle, inconsistent character, malformed arms, extra limbs, smooth skin, tomato shape, round body",,generated/pickle_book/chibi-pickle-stickers,pickle-holding-a-warning-sign
pickle_book,Pickle Book Website Graphics,Chibi Pickle Stickers,chibi-pickle-stickers,Pickle performing an experiment,pickle-performing-an-experiment,sticker,512,512,"chibi pickle sticker, pickle performing an experiment, pickle character, friendly expression, intelligent look, clean dark outline, classic dill pickle body, elongated cucumber shape, bumpy warty pickle texture, pickle ridges, dark green pickle skin, light green bumps, fresh pickle appearance, academic detail, soft shading, simple silhouette, white sticker border, transparent background, website asset, no text, high quality, best quality","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, blurry, pixelated, watermark, signature, letters, words, UI screenshot, clutter, neon glare, scary expression, gross food texture, photorealistic pickle, inconsistent character, malformed arms, extra limbs, smooth skin, tomato shape, round body",,generated/pickle_book/chibi-pickle-stickers,pickle-performing-an-experiment
pickle_book,Pickle Book Website Graphics,Chibi Pickle Stickers,chibi-pickle-stickers,Pickle carrying books,pickle-carrying-books,sticker,512,512,"chibi pickle sticker, pickle carrying books, pickle character, friendly expression, intelligent look, clean dark outline, classic dill pickle body, elongated cucumber shape, bumpy warty pickle texture, pickle ridges, dark green pickle skin, light green bumps, fresh pickle appearance, academic detail, soft shading, simple silhouette, white sticker border, transparent background, website asset, no text, high quality, best quality","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, blurry, pixelated, watermark, signature, letters, words, UI screenshot, clutter, neon glare, scary expression, gross food texture, photorealistic pickle, inconsistent character, malformed arms, extra limbs, smooth skin, tomato shape, round body",,generated/pickle_book/chibi-pickle-stickers,pickle-carrying-books
pickle_book,Pickle Book Website Graphics,Chibi Pickle Stickers,chibi-pickle-stickers,Pickle sleeping beside a bookmark,pickle-sleeping-beside-a-bookmark,sticker,512,512,"chibi pickle sticker, pickle sleeping beside a bookmark, pickle character, friendly expression, intelligent look, clean dark outline, classic dill pickle body, elongated cucumber shape, bumpy warty pickle texture, pickle ridges, dark green pickle skin, light green bumps, fresh pickle appearance, academic detail, soft shading, simple silhouette, white sticker border, transparent background, website asset, no text, high quality, best quality","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, blurry, pixelated, watermark, signature, letters, words, UI screenshot, clutter, neon glare, scary expression, gross food texture, photorealistic pickle, inconsistent character, malformed arms, extra limbs, smooth skin, tomato shape, round body",,generated/pickle_book/chibi-pickle-stickers,pickle-sleeping-beside-a-bookmark
pickle_book,Pickle Book Website Graphics,Chibi Pickle Stickers,chibi-pickle-stickers,Pickle welcoming the reader,pickle-welcoming-the-reader,sticker,512,512,"chibi pickle sticker, pickle welcoming the reader, pickle character, friendly expression, intelligent look, clean dark outline, classic dill pickle body, elongated cucumber shape, bumpy warty pickle texture, pickle ridges, dark green pickle skin, light green bumps, fresh pickle appearance, academic detail, soft shading, simple silhouette, white sticker border, transparent background, website asset, no text, high quality, best quality","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, blurry, pixelated, watermark, signature, letters, words, UI screenshot, clutter, neon glare, scary expression, gross food texture, photorealistic pickle, inconsistent character, malformed arms, extra limbs, smooth skin, tomato shape, round body",,generated/pickle_book/chibi-pickle-stickers,pickle-welcoming-the-reader
pickle_book,Pickle Book Website Graphics,Chibi Pickle Stickers,chibi-pickle-stickers,Pickle showing a key concept,pickle-showing-a-key-concept,sticker,512,512,"chibi pickle sticker, pickle showing a key concept, pickle character, friendly expression, intelligent look, clean dark outline, classic dill pickle body, elongated cucumber shape, bumpy warty pickle texture, pickle ridges, dark green pickle skin, light green bumps, fresh pickle appearance, academic detail, soft shading, simple silhouette, white sticker border, transparent background, website asset, no text, high quality, best quality","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, blurry, pixelated, watermark, signature, letters, words, UI screenshot, clutter, neon glare, scary expression, gross food texture, photorealistic pickle, inconsistent character, malformed arms, extra limbs, smooth skin, tomato shape, round body",,generated/pickle_book/chibi-pickle-stickers,pickle-showing-a-key-concept
pickle_book,Pickle Book Website Graphics,Chibi Pickle Stickers,chibi-pickle-stickers,Pickle marking chapter completion,pickle-marking-chapter-completion,sticker,512,512,"chibi pickle sticker, pickle marking chapter completion, pickle character, friendly expression, intelligent look, clean dark outline, classic dill pickle body, elongated cucumber shape, bumpy warty pickle texture, pickle ridges, dark green pickle skin, light green bumps, fresh pickle appearance, academic detail, soft shading, simple silhouette, white sticker border, transparent background, website asset, no text, high quality, best quality","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, blurry, pixelated, watermark, signature, letters, words, UI screenshot, clutter, neon glare, scary expression, gross food texture, photorealistic pickle, inconsistent character, malformed arms, extra limbs, smooth skin, tomato shape, round body",,generated/pickle_book/chibi-pickle-stickers,pickle-marking-chapter-completion
pickle_book,Pickle Book Website Graphics,Chibi Pickle Stickers,chibi-pickle-stickers,Pickle for empty search results,pickle-for-empty-search-results,sticker,512,512,"chibi pickle sticker, pickle for empty search results, pickle character, friendly expression, intelligent look, clean dark outline, classic dill pickle body, elongated cucumber shape, bumpy warty pickle texture, pickle ridges, dark green pickle skin, light green bumps, fresh pickle appearance, academic detail, soft shading, simple silhouette, white sticker border, transparent background, website asset, no text, high quality, best quality","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, blurry, pixelated, watermark, signature, letters, words, UI screenshot, clutter, neon glare, scary expression, gross food texture, photorealistic pickle, inconsistent character, malformed arms, extra limbs, smooth skin, tomato shape, round body",,generated/pickle_book/chibi-pickle-stickers,pickle-for-empty-search-results
pickle_book,Pickle Book Website Graphics,Chibi Pickle Stickers,chibi-pickle-stickers,Pickle for an empty bookmark list,pickle-for-an-empty-bookmark-list,sticker,512,512,"chibi pickle sticker, pickle for an empty bookmark list, pickle character, friendly expression, intelligent look, clean dark outline, classic dill pickle body, elongated cucumber shape, bumpy warty pickle texture, pickle ridges, dark green pickle skin, light green bumps, fresh pickle appearance, academic detail, soft shading, simple silhouette, white sticker border, transparent background, website asset, no text, high quality, best quality","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, blurry, pixelated, watermark, signature, letters, words, UI screenshot, clutter, neon glare, scary expression, gross food texture, photorealistic pickle, inconsistent character, malformed arms, extra limbs, smooth skin, tomato shape, round body",,generated/pickle_book/chibi-pickle-stickers,pickle-for-an-empty-bookmark-list
pickle_book,Pickle Book Website Graphics,Chibi Pickle Stickers,chibi-pickle-stickers,Pickle for a missing or error page,pickle-for-a-missing-or-error-page,sticker,512,512,"chibi pickle sticker, pickle for a missing or error page, pickle character, friendly expression, intelligent look, clean dark outline, classic dill pickle body, elongated cucumber shape, bumpy warty pickle texture, pickle ridges, dark green pickle skin, light green bumps, fresh pickle appearance, academic detail, soft shading, simple silhouette, white sticker border, transparent background, website asset, no text, high quality, best quality","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, blurry, pixelated, watermark, signature, letters, words, UI screenshot, clutter, neon glare, scary expression, gross food texture, photorealistic pickle, inconsistent character, malformed arms, extra limbs, smooth skin, tomato shape, round body",,generated/pickle_book/chibi-pickle-stickers,pickle-for-a-missing-or-error-page
pickle_book,Pickle Book Website Graphics,Interface Graphics,interface-graphics,Chapter-number badge,chapter-number-badge,badge,384,384,"educational UI icon, chapter number badge, pickle book website, simple vector style, fresh green accent, dark outline, centered, transparent background, no text, high quality, best quality","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, blurry, pixelated, watermark, signature, letters, words, UI screenshot, clutter, neon glare, scary expression, gross food texture, photorealistic pickle, inconsistent character, malformed arms, extra limbs, smooth skin, tomato shape, round body, photorealistic scene, complex background, tiny details",,generated/pickle_book/interface-graphics,chapter-number-badge
pickle_book,Pickle Book Website Graphics,Interface Graphics,interface-graphics,Bookmark icon,bookmark-icon,icon,384,384,"educational UI icon, bookmark icon, pickle book website, simple vector style, fresh green accent, dark outline, centered, transparent background, no text, high quality, best quality","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, blurry, pixelated, watermark, signature, letters, words, UI screenshot, clutter, neon glare, scary expression, gross food texture, photorealistic pickle, inconsistent character, malformed arms, extra limbs, smooth skin, tomato shape, round body, photorealistic scene, complex background, tiny details",,generated/pickle_book/interface-graphics,bookmark-icon
pickle_book,Pickle Book Website Graphics,Interface Graphics,interface-graphics,Completed-chapter badge,completed-chapter-badge,badge,384,384,"educational UI icon, completed chapter badge, pickle book website, simple vector style, fresh green accent, dark outline, centered, transparent background, no text, high quality, best quality","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, blurry, pixelated, watermark, signature, letters, words, UI screenshot, clutter, neon glare, scary expression, gross food texture, photorealistic pickle, inconsistent character, malformed arms, extra limbs, smooth skin, tomato shape, round body, photorealistic scene, complex background, tiny details",,generated/pickle_book/interface-graphics,completed-chapter-badge
pickle_book,Pickle Book Website Graphics,Interface Graphics,interface-graphics,Reading-progress marker,reading-progress-marker,badge,384,384,"educational UI icon, reading progress marker, pickle book website, simple vector style, fresh green accent, dark outline, centered, transparent background, no text, high quality, best quality","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, blurry, pixelated, watermark, signature, letters, words, UI screenshot, clutter, neon glare, scary expression, gross food texture, photorealistic pickle, inconsistent character, malformed arms, extra limbs, smooth skin, tomato shape, round body, photorealistic scene, complex background, tiny details",,generated/pickle_book/interface-graphics,reading-progress-marker
pickle_book,Pickle Book Website Graphics,Interface Graphics,interface-graphics,Definition icon,definition-icon,icon,384,384,"educational UI icon, definition icon, pickle book website, simple vector style, fresh green accent, dark outline, centered, transparent background, no text, high quality, best quality","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, blurry, pixelated, watermark, signature, letters, words, UI screenshot, clutter, neon glare, scary expression, gross food texture, photorealistic pickle, inconsistent character, malformed arms, extra limbs, smooth skin, tomato shape, round body, photorealistic scene, complex background, tiny details",,generated/pickle_book/interface-graphics,definition-icon
pickle_book,Pickle Book Website Graphics,Interface Graphics,interface-graphics,Important-note icon,important-note-icon,icon,384,384,"educational UI icon, important note icon, pickle book website, simple vector style, fresh green accent, dark outline, centered, transparent background, no text, high quality, best quality","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, blurry, pixelated, watermark, signature, letters, words, UI screenshot, clutter, neon glare, scary expression, gross food texture, photorealistic pickle, inconsistent character, malformed arms, extra limbs, smooth skin, tomato shape, round body, photorealistic scene, complex background, tiny details",,generated/pickle_book/interface-graphics,important-note-icon
pickle_book,Pickle Book Website Graphics,Interface Graphics,interface-graphics,Warning icon,warning-icon,icon,384,384,"educational UI icon, warning icon, pickle book website, simple vector style, fresh green accent, dark outline, centered, transparent background, no text, high quality, best quality","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, blurry, pixelated, watermark, signature, letters, words, UI screenshot, clutter, neon glare, scary expression, gross food texture, photorealistic pickle, inconsistent character, malformed arms, extra limbs, smooth skin, tomato shape, round body, photorealistic scene, complex background, tiny details",,generated/pickle_book/interface-graphics,warning-icon
pickle_book,Pickle Book Website Graphics,Interface Graphics,interface-graphics,Example icon,example-icon,icon,384,384,"educational UI icon, example icon, pickle book website, simple vector style, fresh green accent, dark outline, centered, transparent background, no text, high quality, best quality","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, blurry, pixelated, watermark, signature, letters, words, UI screenshot, clutter, neon glare, scary expression, gross food texture, photorealistic pickle, inconsistent character, malformed arms, extra limbs, smooth skin, tomato shape, round body, photorealistic scene, complex background, tiny details",,generated/pickle_book/interface-graphics,example-icon
pickle_book,Pickle Book Website Graphics,Interface Graphics,interface-graphics,Question icon,question-icon,icon,384,384,"educational UI icon, question icon, pickle book website, simple vector style, fresh green accent, dark outline, centered, transparent background, no text, high quality, best quality","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, blurry, pixelated, watermark, signature, letters, words, UI screenshot, clutter, neon glare, scary expression, gross food texture, photorealistic pickle, inconsistent character, malformed arms, extra limbs, smooth skin, tomato shape, round body, photorealistic scene, complex background, tiny details",,generated/pickle_book/interface-graphics,question-icon
pickle_book,Pickle Book Website Graphics,Interface Graphics,interface-graphics,Answer icon,answer-icon,icon,384,384,"educational UI icon, answer icon, pickle book website, simple vector style, fresh green accent, dark outline, centered, transparent background, no text, high quality, best quality","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, blurry, pixelated, watermark, signature, letters, words, UI screenshot, clutter, neon glare, scary expression, gross food texture, photorealistic pickle, inconsistent character, malformed arms, extra limbs, smooth skin, tomato shape, round body, photorealistic scene, complex background, tiny details",,generated/pickle_book/interface-graphics,answer-icon
pickle_book,Pickle Book Website Graphics,Interface Graphics,interface-graphics,Experiment icon,experiment-icon,icon,384,384,"educational UI icon, experiment icon, pickle book website, simple vector style, fresh green accent, dark outline, centered, transparent background, no text, high quality, best quality","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, blurry, pixelated, watermark, signature, letters, words, UI screenshot, clutter, neon glare, scary expression, gross food texture, photorealistic pickle, inconsistent character, malformed arms, extra limbs, smooth skin, tomato shape, round body, photorealistic scene, complex background, tiny details",,generated/pickle_book/interface-graphics,experiment-icon
pickle_book,Pickle Book Website Graphics,Interface Graphics,interface-graphics,Summary icon,summary-icon,icon,384,384,"educational UI icon, summary icon, pickle book website, simple vector style, fresh green accent, dark outline, centered, transparent background, no text, high quality, best quality","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, blurry, pixelated, watermark, signature, letters, words, UI screenshot, clutter, neon glare, scary expression, gross food texture, photorealistic pickle, inconsistent character, malformed arms, extra limbs, smooth skin, tomato shape, round body, photorealistic scene, complex background, tiny details",,generated/pickle_book/interface-graphics,summary-icon
pickle_book,Pickle Book Website Graphics,Interface Graphics,interface-graphics,Vocabulary icon,vocabulary-icon,icon,384,384,"educational UI icon, vocabulary icon, pickle book website, simple vector style, fresh green accent, dark outline, centered, transparent background, no text, high quality, best quality","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, blurry, pixelated, watermark, signature, letters, words, UI screenshot, clutter, neon glare, scary expression, gross food texture, photorealistic pickle, inconsistent character, malformed arms, extra limbs, smooth skin, tomato shape, round body, photorealistic scene, complex background, tiny details",,generated/pickle_book/interface-graphics,vocabulary-icon
